term_code,term_desc,term_start_date,enrollment_date,date,days,level_desc,student_type,online,_FREQ_,Official
202110,Fall 2020,17AUG2020:00:00:00,09APR2020:06:00:00,04-09,-130,Graduate,New First Time Grad Applicant,On-Campus Program,1,
202110,Fall 2020,17AUG2020:00:00:00,09APR2020:06:00:00,04-09,-130,Graduate,New First Time Grad Applicant,On-Campus Program,105,357
202110,Fall 2020,17AUG2020:00:00:00,09APR2020:06:00:00,04-09,-130,Graduate,New First Time Grad Applicant,Online Program,24,462
202110,Fall 2020,17AUG2020:00:00:00,09APR2020:06:00:00,04-09,-130,Graduate,Returning,On-Campus Program,6,53
202110,Fall 2020,17AUG2020:00:00:00,09APR2020:06:00:00,04-09,-130,Graduate,Returning,Online Program,1,52
202110,Fall 2020,17AUG2020:00:00:00,09APR2020:06:00:00,04-09,-130,Graduate,Non Degree,On-Campus Program,,21
202110,Fall 2020,17AUG2020:00:00:00,09APR2020:06:00:00,04-09,-130,Graduate,Non Degree,Online Program,,2
202110,Fall 2020,17AUG2020:00:00:00,09APR2020:06:00:00,04-09,-130,Undergraduate,Continuing,On-Campus Program,4138,6294
202110,Fall 2020,17AUG2020:00:00:00,09APR2020:06:00:00,04-09,-130,Undergraduate,Continuing,Online Program,197,1319
202110,Fall 2020,17AUG2020:00:00:00,09APR2020:06:00:00,04-09,-130,Undergraduate,High School Special,On-Campus Program,,3
202110,Fall 2020,17AUG2020:00:00:00,09APR2020:06:00:00,04-09,-130,Undergraduate,EKU Dual Credit,On-Campus Program,,769
202110,Fall 2020,17AUG2020:00:00:00,09APR2020:06:00:00,04-09,-130,Undergraduate,New First Time Freshman,On-Campus Program,20,2150
202110,Fall 2020,17AUG2020:00:00:00,09APR2020:06:00:00,04-09,-130,Undergraduate,New First Time Freshman,Online Program,4,122
202110,Fall 2020,17AUG2020:00:00:00,09APR2020:06:00:00,04-09,-130,Undergraduate,Returning,On-Campus Program,27,169
202110,Fall 2020,17AUG2020:00:00:00,09APR2020:06:00:00,04-09,-130,Undergraduate,Returning,Online Program,20,207
202110,Fall 2020,17AUG2020:00:00:00,09APR2020:06:00:00,04-09,-130,Undergraduate,New First Time Transfer,On-Campus Program,122,469
202110,Fall 2020,17AUG2020:00:00:00,09APR2020:06:00:00,04-09,-130,Undergraduate,New First Time Transfer,Online Program,41,525
202110,Fall 2020,17AUG2020:00:00:00,09APR2020:06:00:00,04-09,-130,Undergraduate,Non Degree,On-Campus Program,,25
202110,Fall 2020,17AUG2020:00:00:00,09APR2020:06:00:00,04-09,-130,Undergraduate,Non Degree,Online Program,,12
202110,Fall 2020,17AUG2020:00:00:00,09APR2020:06:00:00,04-09,-130,Undergraduate,Visiting,On-Campus Program,,2
202110,Fall 2020,17AUG2020:00:00:00,09APR2020:06:00:00,04-09,-130,Undergraduate,Visiting,Online Program,,4
202110,Fall 2020,17AUG2020:00:00:00,10APR2020:06:00:00,04-10,-129,Graduate,Continuing,On-Campus Program,147,563
202110,Fall 2020,17AUG2020:00:00:00,10APR2020:06:00:00,04-10,-129,Graduate,Continuing,Online Program,61,885
202110,Fall 2020,17AUG2020:00:00:00,10APR2020:06:00:00,04-10,-129,Graduate,New First Time Grad Applicant,On-Campus Program,1,
202110,Fall 2020,17AUG2020:00:00:00,10APR2020:06:00:00,04-10,-129,Graduate,New First Time Grad Applicant,On-Campus Program,107,357
